,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
337,Joel Hanley\hanlejo01,28,DAL,D,8,58,64,47.5,-4.0,44,46,48.9,-4.7,8.8,87.1,95.9,52.2,47.8,11:21,11:07,0,5,1.2,10,40.0
338,Jansen Harkins\harkija01,22,WPG,C,29,205,245,45.6,-3.2,148,195,43.1,-5.1,8.9,90.6,99.6,53.1,46.9,10:37,10:32,7,7,-4.7,44,65.9
339,Scott Harrington\harrisc01,26,CBJ,D,39,347,394,46.8,-1.8,272,278,49.5,-0.7,6.6,91.5,98.1,50.0,50.0,13:57,13:03,5,9,0.8,73,50.7
340,Ryan Hartman\hartmry01,25,MIN,RW,69,611,567,51.9,2.9,451,413,52.2,3.0,11.1,89.0,100.2,46.9,53.1,12:15,10:57,34,14,6.2,189,60.3
341,Garnet Hathaway\hathaga01,28,WSH,RW,66,502,454,52.5,0.3,366,325,53.0,0.9,9.3,91.9,101.2,49.3,50.7,10:47,9:20,21,16,5.7,139,57.6
342,Erik Haula\haulaer01,28,TOT,LW,48,470,464,50.3,-2.9,360,349,50.8,-1.4,10.5,90.3,100.9,49.2,50.8,15:49,12:43,21,29,-3.2,154,59.7
343,Jayce Hawryluk\hawryja01,24,TOT,C,26,209,193,52.0,0.4,146,149,49.5,-1.8,10.2,89.7,99.9,47.8,52.2,11:06,10:37,11,12,0.3,39,66.7
344,John Hayden\haydejo01,24,NJD,C,43,222,368,37.6,-10.7,159,272,36.9,-12.3,9.2,93.4,102.5,28.0,72.0,9:43,9:12,13,7,-5.1,68,57.4
345,Kevin Hayes\hayeske01,27,PHI,RW,69,694,715,49.3,-2.6,508,546,48.2,-3.7,11.2,87.0,98.2,47.0,53.0,17:44,14:01,43,34,-1.9,281,62.3
346,Barrett Hayton\haytoba01,19,ARI,C,20,175,191,47.8,0.8,133,153,46.5,0.0,8.1,94.7,102.8,60.0,40.0,11:09,10:39,8,4,-0.5,44,61.4
347,Victor Hedman\hedmavi01,29,TBL,D,66,982,883,52.7,0.7,752,672,52.8,1.8,14.9,89.8,104.7,53.9,46.1,24:04,18:14,47,40,2.7,306,50.7
348,Tim Heed\heedti01,29,SJS,D,38,369,299,55.2,6.8,269,217,55.3,7.4,5.3,85.8,91.1,53.6,46.4,13:00,11:26,10,17,2.4,94,46.8
349,Danton Heinen\heineda01,24,TOT,C/LW,67,596,654,47.7,-3.1,423,476,47.1,-3.8,9.7,90.9,100.6,54.2,45.8,14:28,12:08,19,30,-1.3,184,59.2
350,Ville Heinola\heinovi01,18,WPG,D,8,113,112,50.2,0.6,85,95,47.2,-1.2,13.3,93.1,106.4,60.3,39.7,18:04,17:05,3,15,-1.4,18,55.6
