,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
496,Anton Lindholm\lindhan01,25,COL,D,4,29,35,45.3,-5.3,19,23,45.2,-4.1,21.4,88.9,110.3,41.7,58.3,11:47,11:24,0,0,0.8,4,25.0
497,Elias Lindholm\lindhel01,25,CGY,C,70,851,800,51.5,1.5,627,615,50.5,1.1,12.0,86.8,98.7,51.9,48.1,19:43,14:31,38,33,0.9,271,62.4
498,Hampus Lindholm\lindhha01,26,ANA,D,55,808,785,50.7,2.3,602,601,50.0,1.2,9.2,88.3,97.5,47.0,53.0,23:04,18:12,20,53,-6.6,237,46.0
499,Par Lindholm\lindhpa01,28,BOS,C,40,248,280,47.0,-4.1,183,206,47.0,-4.3,9.2,96.2,105.4,40.8,59.2,11:14,9:19,14,13,2.5,60,58.3
500,Gustav Lindstrom\lindsgu01,21,DET,D,16,134,196,40.6,-4.8,101,148,40.6,-3.3,2.6,91.8,94.5,49.6,50.4,16:32,14:04,3,7,-1.3,25,36.0
501,Bryan Little\littlbr01,32,WPG,RW,7,89,62,58.9,10.1,60,50,54.5,7.5,12.8,94.9,107.6,64.1,35.9,16:09,13:15,2,2,0.0,25,52.0
502,Blake Lizotte\lizotbl01,22,LAK,C,65,677,521,56.5,3.9,506,377,57.3,5.4,6.2,89.4,95.6,53.7,46.3,13:58,11:50,22,21,7.3,158,55.1
503,Adam Lowry\lowryad01,26,WPG,LW,49,424,492,46.3,-2.8,316,374,45.8,-2.1,7.1,91.8,98.9,39.5,60.5,14:58,12:30,31,11,-5.9,112,60.7
504,Milan Lucic\lucicmi01,31,CGY,LW,68,599,582,50.7,0.6,447,435,50.7,1.5,9.3,88.9,98.2,49.3,50.7,13:20,11:33,19,42,0.9,144,57.6
505,Matt Luff\luffma01,22,LAK,RW,18,161,139,53.7,-1.4,117,98,54.4,0.2,9.1,83.3,92.4,51.6,48.4,10:22,10:14,4,4,1.2,47,53.2
506,Isac Lundestrom\lundeis01,20,ANA,C,15,114,130,46.7,-1.4,85,98,46.4,-1.8,11.7,87.7,99.4,49.4,50.6,13:55,11:20,4,2,-1.2,21,47.6
507,Eetu Luostarinen\luostee01,21,CAR,C,8,72,44,62.1,2.2,55,34,61.8,2.5,2.6,85.0,87.6,47.5,52.5,9:59,9:58,2,1,0.9,12,75.0
508,Joona Luoto\luotojo01,22,WPG,F,16,39,87,31.0,-18.2,29,56,34.1,-14.0,0.0,91.9,91.9,32.0,68.0,6:35,6:30,3,5,-2.9,17,52.9
509,Ilya Lyubushkin\lyubuil01,25,ARI,D,51,567,559,50.4,1.9,424,408,51.0,3.1,8.9,92.4,101.4,48.9,51.1,14:11,13:52,13,20,7.9,90,45.6
510,Olli Maatta\maattol01,25,CHI,D,65,748,773,49.2,0.6,548,569,49.1,1.0,12.1,88.0,100.1,45.8,54.2,18:25,16:12,22,57,-2.8,169,47.3
511,Kurtis MacDermid\macdeku01,25,LAK,D,45,450,441,50.5,-1.4,327,340,49.0,-2.7,6.5,88.8,95.3,57.7,42.3,13:43,12:32,5,26,-4.1,108,47.2
512,Mackenzie MacEachern\maceama01,25,STL,LW,51,314,295,51.6,1.7,239,230,51.0,1.5,10.1,92.0,102.0,42.6,57.4,8:57,8:51,14,11,0.9,88,71.6
513,Zack MacEwen\macewza01,23,VAN,C,17,111,151,42.4,-4.6,85,108,44.0,-2.4,20.0,94.7,114.7,46.5,53.5,9:37,9:14,4,8,-0.9,31,54.8
514,Ryan MacInnis\macinry01,23,CBJ,C,10,57,71,44.5,-3.4,48,49,49.5,-1.8,5.0,97.1,102.1,46.4,53.6,9:21,9:15,3,2,0.8,15,86.7
515,Nathan MacKinnon\mackina01,24,COL,C,69,1087,920,54.2,4.0,817,683,54.5,4.8,13.2,87.5,100.7,58.3,41.7,21:12,16:40,38,53,10.4,534,59.6
516,Josh Mahura\mahurjo01,21,ANA,D,11,146,156,48.3,1.4,111,117,48.7,1.1,10.7,88.0,98.6,59.4,40.6,16:14,14:31,2,5,0.3,25,44.0
517,Cale Makar\makarca01,21,COL,D,57,832,745,52.8,2.6,608,552,52.4,2.4,12.9,88.8,101.7,62.3,37.7,21:01,16:45,34,40,7.9,272,44.5
518,Beck Malenstyn\malenbe01,21,WSH,LW,3,23,17,57.5,9.6,15,16,48.4,0.8,0.0,88.9,88.9,20.0,80.0,9:16,7:48,1,0,-0.3,6,66.7
519,Denis Malgin\malgide01,23,TOT,C,44,386,346,52.7,2.8,274,262,51.1,0.4,10.2,83.9,94.1,60.3,39.7,11:59,10:53,26,17,-3.8,97,51.5
520,Evgeni Malkin\malkiev01,33,PIT,C,55,772,646,54.4,4.6,604,472,56.1,6.4,12.6,85.9,98.5,63.2,36.8,19:31,15:47,70,69,15.2,294,58.2
521,Andrew Mangiapane\mangian01,23,CGY,LW,68,758,661,53.4,3.9,565,497,53.2,4.5,12.6,88.5,101.1,46.0,54.0,13:42,12:54,38,29,4.4,205,53.2
522,Brandon Manning\mannibr01,29,EDM,D,9,57,67,46.0,-4.7,44,42,51.2,-0.3,3.8,90.0,93.8,54.3,45.7,11:03,11:02,1,8,-1.1,16,50.0
523,Josh Manson\mansojo01,28,ANA,D,50,702,724,49.2,0.4,522,547,48.8,-0.2,8.2,89.4,97.6,49.1,50.9,20:38,17:38,21,41,-3.7,138,46.4
524,Anthony Mantha\manthan01,25,DET,RW,43,543,458,54.2,10.1,419,332,55.8,11.9,12.5,82.6,95.1,55.6,44.4,18:52,15:38,22,30,8.3,236,58.1
525,Brad Marchand\marchbr03,31,BOS,LW,70,860,676,56.0,7.1,643,494,56.6,7.6,15.5,86.9,102.4,60.8,39.2,19:27,14:04,43,71,7.4,301,61.5
526,Jonathan Marchessault\audymjo01,29,VEG,C,66,895,728,55.1,1.5,650,556,53.9,-0.4,10.4,88.9,99.3,55.1,44.9,17:17,15:01,37,48,8.5,388,60.6
527,Mason Marchment\marchma01,24,TOR,F,4,15,33,31.3,-15.6,10,24,29.4,-16.3,14.3,90.9,105.2,16.7,83.3,8:05,7:54,1,1,-0.3,6,50.0
528,Martin Marincin\marinma01,27,TOR,D,26,286,272,51.3,-0.4,213,203,51.2,0.6,11.1,86.6,97.7,43.5,56.5,15:12,13:30,9,22,-1.4,71,39.4
529,John Marino\marinjo01,22,PIT,D,56,698,654,51.6,0.7,517,467,52.5,1.1,13.1,89.9,103.0,48.4,51.6,20:15,17:26,37,42,4.4,157,38.9
530,Patrick Marleau\marlepa01,40,TOT,C,66,688,715,49.0,-1.9,502,514,49.4,-1.1,11.7,88.0,99.7,47.5,52.5,15:35,13:33,29,15,-0.1,192,60.9
531,Mitch Marner\marnemi01,22,TOR,RW,59,827,733,53.0,2.2,615,540,53.2,3.4,13.6,87.5,101.2,53.4,46.6,21:33,15:56,64,71,7.3,277,55.6
532,Pat Maroon\maroopa01,31,TBL,LW,64,526,513,50.6,-1.5,388,380,50.5,-0.8,10.6,92.0,102.6,50.2,49.8,12:25,10:35,14,17,0.7,124,64.5
533,Matt Martin\martima02,30,NYI,LW,55,341,435,43.9,-3.4,230,305,43.0,-4.6,7.6,92.9,100.5,33.6,66.4,10:25,9:52,11,17,-2.3,94,52.1
534,Alec Martinez\martial01,32,TOT,D,51,808,745,52.0,-2.9,601,539,52.7,-1.8,10.4,86.8,97.1,51.9,48.1,21:30,18:26,14,32,2.1,176,42.6
535,Jordan Martinook\martijo01,27,CAR,LW,45,363,311,53.9,-0.3,267,238,52.9,-1.0,8.7,88.6,97.4,56.0,44.0,11:16,9:50,24,19,-2.8,95,46.3
536,Mike Matheson\mathemi01,25,FLA,D,59,756,779,49.3,-0.7,560,579,49.2,-1.3,12.2,88.3,100.4,46.0,54.0,18:01,16:14,41,54,-5.7,216,48.1
537,Stefan Matteau\mattest02,25,CBJ,LW,9,88,98,47.3,-0.6,70,70,50.0,1.1,10.2,88.9,99.1,46.3,53.7,12:22,11:58,2,1,-0.3,29,62.1
538,Auston Matthews\matthau01,22,TOR,C,70,1104,932,54.2,3.3,810,693,53.9,3.7,13.4,89.0,102.4,59.5,40.5,20:58,17:32,78,48,13.8,504,57.5
539,Scott Mayfield\mayfisc01,27,NYI,D,67,841,932,47.4,1.1,594,672,46.9,-0.1,9.9,91.6,101.4,48.1,51.9,19:57,17:03,21,70,0.3,239,41.0
540,Gerald Mayhew\mayhege01,27,MIN,F,13,108,112,49.1,0.3,69,89,43.7,-6.1,16.3,92.6,108.9,62.1,37.9,11:33,10:13,4,2,-0.4,29,55.2
541,Charlie McAvoy\mcavoch01,22,BOS,D,67,1049,997,51.3,0.5,800,732,52.2,1.8,12.0,91.1,103.1,49.9,50.1,23:10,19:42,37,68,4.7,220,45.9
542,Jake McCabe\mccabja01,26,BUF,D,66,746,764,49.4,0.1,561,577,49.3,0.7,9.5,88.1,97.6,42.7,57.3,18:32,16:10,19,21,-2.7,147,51.0
543,Jared McCann\mccanja01,23,PIT,C,66,623,609,50.6,-0.2,472,448,51.3,0.1,13.2,87.9,101.1,54.6,45.4,15:15,13:01,33,29,2.4,249,60.2
544,Connor McDavid\mcdavco01,23,EDM,C,64,877,913,49.0,1.8,685,702,49.4,1.3,13.7,87.0,100.6,56.9,43.1,21:52,17:31,53,75,1.6,339,62.5
545,Ryan McDonagh\mcdonry01,30,TBL,D,50,645,658,49.5,-3.0,477,485,49.6,-1.6,12.1,90.5,102.6,45.2,54.8,20:42,17:08,25,32,-1.4,134,37.3
546,Brock McGinn\mcginbr01,25,CAR,LW,68,613,556,52.4,-2.1,433,419,50.8,-3.3,8.4,89.2,97.6,49.8,50.2,13:12,10:40,19,10,-4.1,158,58.9
547,Dylan McIlrath\mcilrdy01,27,DET,D,16,120,144,45.5,-1.7,86,108,44.3,-2.7,3.3,88.6,91.9,45.1,54.9,14:49,12:06,4,8,-2.8,33,42.4
548,Greg McKegg\mckeggr01,27,NYR,C,53,295,428,40.8,-7.5,228,318,41.8,-7.3,6.4,92.4,98.8,47.1,52.9,9:34,8:34,14,13,-4.2,65,61.5
549,Michael McLeod\mcleomi01,21,NJD,C,12,75,118,38.9,-4.9,54,78,40.9,-3.8,13.0,96.2,109.2,31.5,68.5,10:14,9:60,4,0,0.4,16,68.8
550,Brayden McNabb\mcnabbr01,29,VEG,D,71,999,902,52.6,-2.7,749,664,53.0,-2.4,9.8,88.9,98.8,47.5,52.5,20:01,16:50,32,32,7.7,176,41.5
551,Jayson Megna\megnaja01,29,COL,C,8,39,51,43.3,-4.4,25,36,41.0,-6.8,7.1,90.9,98.1,31.0,69.0,6:43,6:42,0,1,-0.8,8,50.0
552,Timo Meier\meierti01,23,SJS,RW,70,839,744,53.0,3.7,616,544,53.1,4.3,10.3,83.6,93.9,55.3,44.7,17:17,13:58,39,31,4.0,341,58.4
553,Brennan Menell\menelbr01,22,MIN,D,5,51,30,63.0,17.0,36,23,61.0,12.6,12.0,88.2,100.2,70.3,29.7,13:59,12:49,2,0,0.3,10,40.0
554,Nicholas Merkley\merklni01,22,NJD,RW,4,33,34,49.3,11.3,30,24,55.6,17.6,9.5,88.2,97.8,33.3,66.7,11:22,10:45,2,2,0.0,9,88.9
555,Dakota Mermis\mermida01,26,NJD,D,10,139,156,47.1,4.8,103,112,47.9,5.7,15.2,93.5,108.7,37.8,62.2,19:13,17:06,1,7,1.2,33,51.5
556,Jonathon Merrill\merrijo01,27,VEG,D,49,606,541,52.8,-1.0,449,376,54.4,0.1,11.7,89.6,101.2,54.2,45.8,18:09,16:34,14,27,6.1,97,38.1
557,Victor Mete\metevi01,21,MTL,D,51,669,585,53.3,-1.3,489,432,53.1,-1.2,10.2,90.6,100.8,46.0,54.0,15:60,15:08,8,35,3.8,121,47.1
558,Jacob Middleton\middlja01,24,SJS,D,10,85,70,54.8,0.3,64,49,56.6,1.9,6.5,83.3,89.9,49.0,51.0,10:46,9:60,1,1,1.3,16,56.3
559,Ilya Mikheyev\mikheil01,25,TOR,F,39,478,397,54.6,2.4,364,308,54.2,3.1,11.5,89.6,101.0,49.3,50.7,15:35,13:19,24,14,-0.4,173,56.6
560,Niko Mikkola\mikkoni01,23,STL,D,5,52,34,60.5,4.8,43,28,60.6,5.9,11.4,95.0,106.4,65.9,34.1,14:22,13:05,0,1,0.6,13,76.9
561,Sonny Milano\milanso01,23,TOT,LW,55,497,529,48.4,-1.1,380,380,50.0,-0.8,8.3,89.2,97.6,54.9,45.1,13:06,11:32,22,30,0.7,108,69.4
562,Colin Miller\milleco02,27,BUF,D,51,563,585,49.0,0.3,412,444,48.1,-0.4,8.8,89.8,98.5,49.6,50.4,17:08,15:26,9,29,-6.3,175,45.1
563,J.T. Miller\millejt01,26,VAN,C,69,952,786,54.8,8.6,707,562,55.7,8.8,12.6,87.2,99.8,56.3,43.7,20:06,15:26,52,36,12.0,290,56.9
564,Casey Mittelstadt\mitteca01,21,BUF,C,31,228,287,44.3,-6.6,167,216,43.6,-6.8,10.2,89.9,100.0,51.5,48.5,12:46,10:54,6,9,-4.0,58,58.6
565,Sean Monahan\monahse01,25,CGY,C,70,840,839,50.0,-0.5,612,661,48.1,-2.1,11.6,87.7,99.3,57.4,42.6,18:06,14:54,43,36,1.1,276,60.1
566,Brandon Montour\montobr01,25,BUF,D,54,641,721,47.1,-3.9,499,572,46.6,-3.7,12.7,92.0,104.7,52.2,47.8,19:30,17:37,12,27,-8.2,153,56.2
567,John Moore\moorejo01,29,BOS,D,24,259,262,49.7,-1.9,196,188,51.0,-0.2,9.2,88.7,97.9,55.4,44.6,16:33,14:26,2,7,1.6,68,48.5
568,Trevor Moore\mooretr01,24,TOT,LW,42,366,374,49.5,-3.0,264,289,47.7,-3.2,9.0,88.7,97.7,51.8,48.2,12:54,10:46,21,20,-1.0,100,60.0
569,Samuel Morin\morinsa01,24,PHI,D,1,9,12,42.9,-14.1,5,12,29.4,-24.0,0.0,90.0,90.0,83.3,16.7,12:32,12:32,1,2,-1.5,0,
570,Josh Morrissey\morrijo04,24,WPG,D,65,1012,1031,49.5,1.3,735,820,47.3,-0.6,12.2,89.3,101.5,52.7,47.3,22:45,20:02,22,46,-9.9,258,46.5
571,Tyler Motte\mottety01,24,VAN,C,34,231,368,38.6,-10.7,175,258,40.4,-9.9,8.7,90.1,98.8,21.4,78.6,13:07,11:05,16,9,-8.0,76,50.0
572,Mirco Mueller\muellmi01,24,NJD,D,50,504,692,42.1,-3.8,377,501,42.9,-4.2,9.1,89.2,98.3,42.2,57.8,17:39,15:06,9,27,-7.8,73,39.7
573,Connor Murphy\murphco02,26,CHI,D,58,788,802,49.6,0.4,575,574,50.0,1.3,12.6,87.8,100.5,45.5,54.5,21:15,18:24,17,44,-3.2,236,49.6
574,Ryan Murray\murrary01,26,CBJ,D,27,324,357,47.6,-2.4,242,249,49.3,-2.7,8.4,87.7,96.1,47.0,53.0,19:57,16:46,6,15,0.0,64,50.0
575,Jake Muzzin\muzzija01,30,TOR,D,53,854,762,52.8,0.8,632,545,53.7,3.0,13.3,87.4,100.7,47.1,52.9,21:36,18:32,24,63,4.2,191,51.8
576,Philippe Myers\myersph01,23,PHI,D,50,605,569,51.5,1.1,448,425,51.3,1.1,14.2,90.0,104.2,52.9,47.1,17:06,16:28,21,32,3.1,178,43.8
577,Tyler Myers\myersty01,29,VAN,D,68,973,1030,48.6,0.3,728,757,49.0,0.0,9.8,88.4,98.1,52.8,47.2,21:30,18:21,42,41,-2.1,263,51.0
578,Vladislav Namestnikov\namesvl01,27,TOT,C,65,544,673,44.7,-3.9,402,496,44.8,-4.0,12.3,87.2,99.5,45.4,54.6,15:03,11:46,25,28,-4.0,168,58.3
579,Riley Nash\nashri02,30,CBJ,C,64,417,517,44.6,-4.6,314,356,46.9,-4.1,10.0,92.2,102.2,48.1,51.9,11:51,10:32,25,10,3.5,94,68.1
580,James Neal\nealja01,32,EDM,LW,55,539,557,49.2,2.9,402,412,49.4,2.1,9.6,87.5,97.1,62.7,37.3,16:18,13:04,24,29,-1.4,214,52.3
581,Martin Necas\necasma01,21,CAR,C,64,618,534,53.6,-1.1,461,399,53.6,-0.2,9.7,89.5,99.3,53.4,46.6,14:10,12:15,23,36,-2.0,162,54.9
582,Brock Nelson\nelsobr01,28,NYI,C,68,755,892,45.8,-1.2,541,636,46.0,-1.4,14.9,87.8,102.7,48.4,51.6,18:52,14:58,26,52,0.6,272,64.3
583,Patrik Nemeth\nemetpa01,27,DET,D,64,788,874,47.4,1.6,577,632,47.7,2.3,9.1,89.6,98.6,39.4,60.6,22:02,18:16,10,54,-7.2,172,51.7
584,Aaron Ness\nessaa01,29,ARI,D,24,220,238,48.0,-0.7,166,176,48.5,0.6,10.2,89.3,99.4,56.7,43.3,12:32,12:00,1,8,1.6,27,40.7
585,Valeri Nichushkin\nichuva01,24,COL,RW,65,665,537,55.3,4.7,455,383,54.3,3.6,13.8,92.2,106.0,45.3,54.7,14:04,11:45,38,18,8.1,180,62.8
586,Nino Niederreiter\niedeni01,27,CAR,RW,67,758,570,57.1,3.6,563,434,56.5,3.6,8.8,88.7,97.5,52.1,47.9,14:49,12:48,35,42,8.1,216,53.2
587,Frans Nielsen\nielsfr01,35,DET,C,60,398,485,45.1,-1.7,304,357,46.0,-0.4,5.9,89.2,95.2,39.3,60.7,13:41,10:46,11,15,-6.4,128,67.2
588,Matthew Nieto\nietoma01,27,COL,LW,70,614,569,51.9,0.7,436,408,51.7,0.7,10.5,89.8,100.4,40.8,59.2,13:30,10:54,19,17,2.4,141,60.3
589,Boo Nieves\nievecr01,26,NYR,C,4,15,26,36.6,-7.6,10,20,33.3,-11.2,28.6,100.0,128.6,26.7,73.3,7:32,6:54,1,0,-0.3,7,28.6
590,Sami Niku\nikusa01,23,WPG,D,17,178,233,43.3,-7.3,122,183,40.0,-9.5,9.5,91.7,101.3,49.1,50.9,16:10,15:34,2,11,-4.6,43,62.8
591,Matt Niskanen\niskama01,33,PHI,D,68,887,800,52.6,2.0,672,590,53.2,3.2,11.7,88.1,99.8,45.2,54.8,21:54,17:10,14,56,6.9,232,54.3
592,Stefan Noesen\noesest01,26,TOT,RW,40,311,304,50.6,-0.4,241,228,51.4,0.2,6.4,93.3,99.7,49.1,50.9,11:32,10:40,16,8,3.0,100,67.0
593,Joakim Nordstrom\nordsjo02,27,BOS,C,48,292,397,42.4,-8.5,225,294,43.4,-7.6,5.9,90.5,96.4,28.8,71.2,12:06,9:60,12,10,-4.0,88,55.7
594,Joshua Norris\norrijo01,20,OTT,C,3,39,50,43.8,-8.7,21,30,41.2,-8.8,12.5,100.0,112.5,72.0,28.0,17:55,15:07,1,0,-1.2,14,64.3
595,Tomas Nosek\nosekto01,27,VEG,C,67,543,475,53.3,-1.3,397,348,53.3,-1.7,8.1,89.9,98.0,54.3,45.8,11:36,10:15,22,16,7.8,154,60.4
596,Ryan Nugent-Hopkins\nugenry01,26,EDM,C,65,746,831,47.3,-0.4,560,605,48.1,-0.1,13.4,89.7,103.1,56.5,43.5,20:28,14:55,54,39,-1.5,304,56.6
597,Darnell Nurse\nurseda01,24,EDM,D,71,1115,1193,48.3,1.2,843,915,48.0,-0.2,11.7,88.5,100.2,50.8,49.2,23:27,20:01,26,54,-2.2,329,51.7
598,Markus Nutivaara\nutivma01,25,CBJ,D,37,442,438,50.2,1.7,327,313,51.1,1.8,7.8,91.9,99.7,57.8,42.2,15:55,15:20,6,13,1.9,89,52.8
599,Joakim Nygard\nygarjo01,27,EDM,F,33,206,261,44.1,-2.9,160,187,46.1,-2.2,12.7,88.7,101.4,47.2,52.8,10:41,9:47,14,10,3.5,58,67.2
600,Alexander Nylander\nylanal01,21,CHI,LW,65,556,569,49.4,0.8,402,424,48.7,0.5,10.2,89.7,99.9,46.3,53.7,12:08,10:57,25,23,-1.6,151,62.3
601,William Nylander\nylanwi01,23,TOR,C,68,939,744,55.8,5.0,686,586,53.9,3.5,11.8,87.2,99.0,60.1,39.9,18:13,15:08,42,41,5.9,295,66.8
602,Gustav Nyquist\nyquigu01,30,CBJ,RW,70,764,847,47.4,-1.8,575,617,48.2,-2.9,11.9,90.1,101.9,48.4,51.6,18:02,14:32,27,41,-0.2,229,65.9
603,Logan O'Connor\oconnlo01,23,COL,RW,16,111,89,55.5,4.1,80,58,58.0,7.2,8.9,86.8,95.8,54.0,46.0,8:26,8:03,5,0,0.8,28,53.6
604,Ryan O'Reilly\oreilry01,28,STL,C,71,788,733,51.8,1.5,594,570,51.0,0.7,14.8,88.0,102.8,48.4,51.6,20:34,15:17,69,22,-6.6,183,64.5
605,Jordan Oesterle\oestejo01,27,ARI,D,58,689,777,47.0,-1.2,520,565,47.9,-0.1,6.7,91.2,97.9,49.5,50.5,17:01,15:01,11,37,0.8,159,43.4
606,Kyle Okposo\okposky01,31,BUF,RW,52,408,394,50.9,2.9,311,300,50.9,3.6,9.7,89.7,99.5,38.7,61.3,12:51,12:03,15,13,0.7,133,61.7
607,Jamie Oleksiak\oleksja01,27,DAL,D,69,850,742,53.4,5.2,600,527,53.2,5.1,6.7,90.6,97.3,49.6,50.4,15:49,15:05,24,46,6.5,149,51.0
608,Mathieu Olivier\olivima01,22,NSH,F,8,33,40,45.2,-9.3,27,28,49.1,-6.8,8.7,95.0,103.7,25.0,75.0,7:33,7:33,0,3,0.0,9,66.7
609,Gustav Olofsson\olofsgu01,25,MTL,D,3,14,34,29.2,-28.3,10,23,30.3,-29.9,0.0,75.0,75.0,50.0,50.0,8:06,8:06,0,1,-1.1,6,33.3
610,Victor Olofsson\olofsvi01,24,BUF,RW,54,637,630,50.3,0.4,486,494,49.6,0.2,12.8,88.5,101.3,58.1,41.9,18:23,14:53,12,26,-2.9,228,55.7
611,Dmitry Orlov\orlovdm01,28,WSH,D,69,1137,1014,52.9,1.1,829,753,52.4,0.6,12.1,87.9,100.1,48.5,51.5,22:10,19:44,49,65,1.8,224,46.9
612,T.J. Oshie\oshietj01,33,WSH,C/RW,69,822,802,50.6,-2.0,626,594,51.3,-0.9,14.6,87.0,101.6,50.1,49.9,18:16,14:26,42,45,0.9,249,53.8
613,Xavier Ouellet\ouellxa01,26,MTL,D,12,121,94,56.3,2.3,86,71,54.8,1.5,12.1,90.4,102.5,58.2,41.8,13:54,12:52,1,4,1.4,28,28.6
614,Alex Ovechkin\ovechal01,34,WSH,LW,68,985,879,52.8,1.0,699,662,51.4,-1.0,13.5,85.6,99.0,52.9,47.1,20:39,15:39,28,48,3.8,561,55.4
615,Max Pacioretty\pacioma01,31,VEG,LW,71,1056,735,59.0,6.0,799,525,60.3,7.5,12.1,87.1,99.2,56.0,44.0,17:54,15:22,32,55,22.1,549,55.9
616,Jean-Gabriel Pageau\pageaje01,27,TOT,C,67,795,879,47.5,-1.1,600,622,49.1,0.7,9.1,88.9,98.0,40.6,59.4,19:08,15:02,33,32,0.9,244,61.9
617,Ondrej Palat\palaton01,28,TBL,LW,69,805,693,53.7,2.3,569,499,53.3,2.6,13.7,91.6,105.3,51.7,48.3,16:12,13:44,41,34,4.7,220,58.2
618,Kyle Palmieri\palmiky01,28,NJD,RW,65,651,738,46.9,1.5,514,542,48.7,2.6,11.6,90.2,101.8,53.1,46.9,17:06,13:28,29,28,-2.0,285,54.4
619,Artemi Panarin\panarar01,28,NYR,LW,69,1020,980,51.0,6.5,800,728,52.4,7.5,15.0,90.3,105.4,56.0,44.0,20:36,16:49,56,82,10.8,403,51.9
620,Richard Panik\panikri01,28,WSH,RW,59,515,432,54.4,2.0,372,328,53.1,0.9,13.1,92.9,106.1,49.3,50.7,11:20,10:25,21,29,-0.6,125,54.4
621,Cedric Paquette\paquece01,26,TBL,C,61,474,504,48.5,-5.2,343,373,47.9,-5.1,9.8,89.6,99.4,44.3,55.7,13:03,10:57,17,9,-5.4,136,57.4
622,Colton Parayko\parayco01,26,STL,D,64,868,903,49.0,-1.9,655,681,49.0,-1.7,12.0,90.0,102.0,46.8,53.2,22:58,19:58,33,41,-5.1,284,57.0
623,Zach Parise\parisza01,35,MIN,LW,69,767,829,48.1,-1.9,558,605,48.0,-2.3,11.1,88.4,99.5,51.9,48.1,17:12,13:20,21,22,0.5,238,65.1
624,David Pastrnak\pastrda01,23,BOS,RW,70,918,742,55.3,6.3,675,554,54.9,5.6,14.4,88.9,103.3,62.4,37.6,18:58,15:03,49,88,7.0,506,55.1
625,Greg Pateryn\patergr01,29,MIN,D,20,199,255,43.8,-8.0,145,173,45.6,-6.6,12.5,90.6,103.1,47.0,53.0,15:28,13:19,3,6,0.3,53,41.5
626,Nick Paul\paulni01,24,OTT,LW,56,507,615,45.2,-4.7,365,437,45.5,-4.5,10.3,91.3,101.6,42.4,57.6,14:27,13:15,27,19,-4.5,184,56.0
627,Joe Pavelski\paveljo01,35,DAL,C,67,735,685,51.8,2.7,526,503,51.1,2.2,10.2,92.3,102.5,53.7,46.3,16:56,13:24,38,27,6.6,235,53.2
628,Tanner Pearson\pearsta01,27,VAN,LW,69,729,798,47.7,-0.9,535,595,47.3,-2.3,10.8,89.0,99.8,45.8,54.2,16:31,13:42,37,33,-8.7,255,64.3
629,Matthew Peca\pecama01,26,TOT,C,14,100,100,50.0,-2.6,74,74,50.0,-2.8,8.3,86.2,94.5,40.4,59.6,10:27,9:39,0,1,-1.2,22,31.8
630,Andrew Peeke\peekean01,21,CBJ,D,22,223,206,52.0,1.1,165,146,53.1,0.3,9.6,90.6,100.1,52.7,47.3,13:51,13:14,3,8,1.1,53,43.4
631,Adam Pelech\pelecad01,25,NYI,D,38,489,602,44.8,-1.9,344,414,45.4,-1.7,11.2,89.7,101.0,37.2,62.8,21:08,18:09,32,48,-3.5,115,42.6
632,Brendan Perlini\perlibr01,23,TOT,LW,40,218,307,41.5,-4.4,162,240,40.3,-5.5,4.2,88.3,92.5,46.9,53.1,10:42,9:18,7,8,-6.9,99,48.5
633,Mathieu Perreault\perrema01,32,WPG,C,49,462,429,51.9,3.5,331,330,50.1,2.9,7.3,89.3,96.5,45.7,54.3,13:06,11:38,17,11,0.2,119,59.7
634,David Perron\perroda01,31,STL,LW,71,791,717,52.5,2.4,598,563,51.5,1.3,13.0,87.7,100.7,53.1,46.9,18:19,15:01,39,35,-4.1,324,51.2
635,Corey Perry\perryco01,34,DAL,RW,57,497,537,48.1,-2.3,364,387,48.5,-1.7,9.4,90.6,100.0,53.3,46.7,13:43,11:33,17,26,1.6,159,48.4
636,Joel Persson\perssjo02,25,EDM,D,13,143,160,47.2,0.3,106,120,46.9,0.0,11.1,90.6,101.7,55.3,44.7,15:19,14:58,2,8,-0.2,33,51.5
637,Brett Pesce\pescebr01,25,CAR,D,61,934,837,52.7,-2.0,670,641,51.1,-3.3,11.0,89.7,100.7,49.8,50.2,21:53,18:14,42,39,0.5,222,46.8
638,Nic Petan\petanni01,24,TOR,C,16,153,119,56.3,2.7,111,90,55.2,4.4,6.9,88.1,95.0,39.7,60.3,11:07,10:18,4,2,0.2,41,46.3
639,Jeff Petry\petryje01,32,MTL,D,71,1250,944,57.0,3.4,913,707,56.4,3.2,8.6,87.0,95.6,53.1,46.9,23:39,18:59,30,88,10.6,367,43.1
640,Elias Pettersson\petteel01,21,VAN,C,68,864,688,55.7,9.5,647,491,56.9,10.0,14.7,87.3,102.0,61.4,38.6,18:32,14:25,36,33,10.8,328,49.4
641,Marcus Pettersson\pettema01,23,PIT,D,69,929,821,53.1,2.9,714,602,54.3,3.8,11.5,88.4,100.0,53.1,46.9,19:24,17:11,17,38,8.7,193,40.9
